RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA
Wesley Johnson,LAL,79,28.4,.522,13.8,10.0,13.9,3.3,13.3,8.3,11.08,19.3,0.6
Cartier Martin,ATL/CHI,59,14.7,.562,9.2,9.5,15.8,1.7,12.8,7.3,11.05,7.1,0.2
Steve Blake,GS/LAL,55,27.2,.508,39.3,13.1,12.1,0.9,10.4,5.7,11.01,0.2,0.0
Anthony Tolliver,CHA,64,20.3,.605,10.8,5.9,11.3,2.9,11.8,7.3,11.01,-9.5,-0.3
Manny Harris,LAL,9,20.0,.485,11.5,9.4,18.6,4.1,16.0,10.1,10.99,0.0,0.0
James Anderson,PHI,80,28.9,.530,14.6,10.4,15.1,2.7,11.7,7.0,10.92,14.4,0.5
Danny Granger,IND/LAC,41,20.7,.502,9.7,10.9,18.2,4.3,12.9,8.8,10.90,5.0,0.2
Mike Muscala,ATL,20,10.8,.480,7.1,12.2,17.3,9.2,18.7,14.0,10.84,0.8,0.0
Giannis Antetokounmpo,MIL,77,24.6,.518,19.3,15.7,14.6,4.6,16.3,10.2,10.82,9.1,0.3
Chris Johnson,BOS,40,19.7,.537,10.8,7.7,13.5,4.3,9.8,7.0,10.80,3.6,0.1
Kirk Hinrich,CHI,73,29.0,.494,26.5,11.1,17.5,1.7,8.5,5.2,10.80,9.3,0.3
Dewayne Dedmon,GS/ORL/PHI,31,12.6,.500,4.2,15.0,12.3,0.0,0.0,0.0,10.77,1.0,0.0
Donatas Motiejunas,HOU,62,15.4,.504,8.1,11.6,16.3,7.4,18.2,13.1,10.76,-10.5,-0.4
Rashard Lewis,MIA,60,16.2,.535,16.6,10.2,13.0,3.2,10.7,7.1,10.74,-11.0,-0.4
Kobe Bryant,LAL,6,29.5,.505,24.6,22.0,27.8,1.2,14.5,7.8,10.74,0.6,0.0
Matthew Dellavedova,CLE,72,17.7,.535,33.0,10.7,13.9,2.5,8.5,5.4,10.69,3.7,0.1
Udonis Haslem,MIA,46,14.2,.523,6.4,11.9,12.3,8.4,24.7,16.8,10.57,-9.1,-0.3
Daniel Orton,PHI,22,11.4,.540,16.1,19.3,12.6,6.6,20.2,13.1,10.54,0.0,0.0
Slava Kravtsov,PHX,20,3.0,.540,3.9,23.5,16.5,17.2,15.2,16.2,10.54,0.0,0.0
Travis Outlaw,SAC,63,16.9,.492,11.4,6.1,14.6,3.8,14.2,8.9,10.42,-1.3,-0.0
Thabo Sefolosha,OKC,61,26.0,.517,18.1,10.6,11.3,3.7,11.5,7.8,10.42,-2.0,-0.1
Quincy Pondexter,MEM,15,18.0,.520,15.9,12.0,17.3,4.4,7.0,5.7,10.37,-0.5,-0.0
Evan Fournier,DEN,76,19.8,.533,13.8,12.3,18.7,2.4,12.1,7.2,10.36,-3.2,-0.1
Archie Goodwin,PHX,52,10.3,.507,7.8,17.2,17.8,5.3,13.0,9.2,10.34,-1.3,-0.0
Alexey Shved,MIN,63,10.5,.452,17.3,12.2,20.2,3.4,10.1,6.6,10.27,-7.3,-0.2
Nazr Mohammed,CHI,80,7.0,.445,10.2,18.9,13.5,13.6,21.7,17.7,10.18,-3.5,-0.1
Ian Mahinmi,IND,77,16.2,.538,7.2,17.3,10.4,10.1,12.9,11.6,10.18,-7.9,-0.3
JaVale McGee,DEN,5,16.0,.455,4.1,16.5,22.5,13.4,9.5,11.5,10.15,-0.5,-0.0
Quincy Acy,SAC/TOR,63,13.4,.520,12.6,13.5,9.3,9.5,19.5,14.4,10.14,-4.5,-0.2
Perry Jones,OKC,62,12.3,.541,10.5,8.5,11.8,4.3,12.1,8.4,10.14,-4.2,-0.1
Derek Fisher,OKC,81,17.6,.542,21.0,8.8,13.2,1.0,8.3,4.8,10.09,-19.4,-0.6
Chuck Hayes,SAC/TOR,61,12.3,.468,16.7,15.8,9.8,10.5,21.8,16.1,10.04,-16.5,-0.5
Gerald Wallace,BOS,58,24.4,.543,27.8,18.9,11.9,2.8,14.5,8.5,10.02,-10.2,-0.3
Andrew Nicholson,ORL,76,15.4,.489,4.8,9.8,17.3,5.1,19.5,12.3,9.90,-28.1,-0.9
Keith Bogans,BOS,6,9.2,.820,26.5,8.8,6.8,0.0,6.4,3.1,9.88,-0.5,-0.0
Harrison Barnes,GS,78,28.3,.486,12.1,8.8,15.6,3.3,11.9,7.7,9.85,-21.3,-0.7
Derrick Rose,CHI,10,31.1,.446,16.9,13.3,30.3,3.3,8.3,5.9,9.82,-5.5,-0.2
Aron Baynes,SA,53,9.3,.467,14.0,14.9,17.8,13.6,19.4,16.6,9.76,-12.7,-0.4
Greg Stiemsma,NO,55,18.3,.584,16.7,20.4,7.8,8.2,18.0,13.0,9.75,-12.8,-0.4
Al Harrington,WSH,34,15.0,.506,9.8,12.0,21.0,3.3,15.0,9.1,9.75,-13.4,-0.4
Ray McCallum,SAC,45,19.9,.439,25.1,8.2,17.7,2.2,7.8,5.0,9.74,-16.9,-0.6
Chase Budinger,MIN,41,18.3,.505,9.5,7.4,15.7,2.7,12.5,7.5,9.73,-8.6,-0.3
A.J. Price,MIN,28,3.5,.469,19.4,10.5,22.7,1.1,10.2,5.5,9.72,0.0,0.0
Robbie Hummel,MIN,53,12.4,.492,10.6,4.6,11.9,5.7,16.6,11.0,9.67,-8.1,-0.3
Iman Shumpert,NY,74,26.5,.480,17.8,10.9,13.5,4.7,14.0,9.2,9.66,-24.5,-0.8
Isaiah Canaan,HOU,22,11.5,.506,15.4,14.7,19.8,3.3,7.1,5.3,9.57,-5.4,-0.2
Shawne Williams,LAL,36,20.9,.503,11.9,8.3,11.8,3.6,20.2,11.9,9.51,0.0,0.0
Hollis Thompson,PHI,77,22.6,.570,13.6,11.2,10.6,4.4,11.2,7.7,9.50,-25.9,-0.9
Alan Anderson,BKN,78,22.7,.525,11.9,9.1,14.5,2.7,9.1,5.9,9.50,-26.4,-0.9
Kentavious Caldwell-Pope,DET,80,19.8,.483,9.7,4.9,13.3,2.5,8.6,5.4,9.46,-24.5,-0.8
Meyers Leonard,POR,40,8.9,.489,13.5,11.3,13.5,8.0,25.5,16.8,9.45,-6.1,-0.2
Darrell Arthur,DEN,68,17.1,.459,11.0,10.4,17.0,4.8,14.7,9.8,9.41,-36.3,-1.2
Francisco Garcia,HOU,55,19.7,.521,15.9,7.6,12.7,2.3,9.8,6.3,9.37,-18.2,-0.6
Ian Patrick Clark,UTAH,23,7.5,.485,15.1,14.1,21.3,1.9,11.1,6.4,9.29,-3.1,-0.1
Darius Morris,LAC/PHI/MEM,27,11.6,.498,24.7,15.1,12.7,0.0,0.0,0.0,9.28,0.0,0.0
Toney Douglas,GS/MIA,51,13.2,.493,22.2,11.1,16.5,3.3,11.8,7.6,9.20,-18.1,-0.6
Lou Amundson,NO/CHI,19,9.7,.446,9.6,22.4,13.0,17.3,17.2,17.3,9.16,-6.5,-0.2
Earl Clark,CLE/NY,54,14.2,.466,5.5,9.5,16.5,3.2,18.2,10.5,9.09,0.0,0.0
Darius Miller,NO,45,16.1,.550,17.4,8.9,12.3,1.4,7.0,4.2,9.06,-15.6,-0.5
Andre Roberson,OKC,40,10.0,.518,14.1,17.9,9.5,10.7,15.6,13.3,9.03,-8.7,-0.3
Luke Ridnour,MIL/CHA,61,18.7,.452,30.3,11.4,16.8,2.2,7.6,4.8,9.01,-33.9,-1.1
C.J. McCollum,POR,38,12.5,.521,10.6,13.7,19.7,1.6,9.2,5.4,9.00,-10.7,-0.4
Jared Dudley,LAC,74,23.4,.541,16.4,8.9,12.8,2.4,7.7,5.1,8.91,-41.1,-1.4
Chris Singleton,WSH,25,10.0,.481,5.9,16.8,15.7,8.2,17.5,12.8,8.82,-6.3,-0.2
Victor Claver,POR,21,8.8,.502,17.2,15.8,13.3,5.3,17.4,11.4,8.81,-7.4,-0.2
Norris Cole,MIA,82,24.6,.497,27.4,14.0,15.2,1.1,8.6,5.0,8.80,-66.0,-2.2
Phil Pressey,BOS,75,15.1,.390,40.1,14.5,15.6,2.0,8.8,5.3,8.78,-37.5,-1.2
Jorge Gutierrez,BKN,15,16.3,.523,29.0,13.6,14.0,1.5,9.3,5.4,8.76,-8.2,-0.3
Elliot Williams,PHI,67,17.3,.519,13.6,12.8,15.8,2.7,9.7,6.1,8.71,-31.0,-1.0
Shane Battier,MIA,73,20.1,.523,17.1,5.7,9.2,3.0,8.6,5.9,8.70,-39.5,-1.3
Alonzo Gee,CLE,65,15.7,.491,13.3,12.4,12.7,3.8,12.8,8.2,8.63,-28.5,-0.9
Quincy Miller,DEN,52,15.2,.459,7.3,13.6,16.3,4.9,15.2,10.1,8.62,-22.1,-0.7
Landry Fields,TOR,30,10.7,.443,18.6,10.2,12.0,5.4,16.0,10.7,8.62,-9.0,-0.3
Jared Cunningham,ATL/SAC,13,6.2,.464,21.0,5.3,10.6,1.4,7.2,4.3,8.50,-2.4,-0.1
Donald Sloan,IND,48,8.2,.437,25.3,11.1,17.0,1.2,10.9,6.3,8.50,-14.7,-0.5
Bernard James,DAL,30,4.9,.503,7.3,24.5,10.7,12.0,21.2,16.6,8.48,-4.6,-0.2
Luc Richard Mbah a Moute,MIN/SAC,64,15.7,.503,12.1,13.4,10.9,6.0,10.1,8.0,8.42,-46.2,-1.5
Shane Larkin,DAL,48,10.2,.446,27.5,15.1,17.3,2.6,7.3,5.0,8.34,-19.4,-0.6
Lorenzo Brown,PHI,26,8.6,.349,27.6,10.8,20.5,3.7,10.0,6.8,8.27,0.0,0.0
Roger Mason Jr.,MIA,25,10.4,.528,19.4,9.2,13.6,0.5,9.8,5.3,8.19,0.0,0.0
Tayshaun Prince,MEM,76,25.6,.438,17.5,6.0,12.8,1.9,12.3,7.1,8.18,-67.4,-2.2
Jason Maxiell,ORL,34,14.4,.459,6.4,9.9,11.2,6.5,13.5,10.0,8.17,-24.2,-0.8
Joel Anthony,BOS/MIA,33,5.6,.394,4.9,7.4,8.4,9.2,14.6,11.8,8.14,-6.8,-0.2
Tony Snell,CHI,77,16.0,.489,14.6,9.4,14.2,1.8,9.6,5.7,8.02,-45.6,-1.5
Luigi Datome,DET,34,7.0,.409,8.9,8.9,19.3,6.1,15.5,10.6,8.02,-8.8,-0.3
Aaron Gray,SAC/TOR,37,9.6,.466,17.9,25.2,11.8,13.2,22.3,17.7,7.84,-14.7,-0.5
John Salmons,SAC/TOR,78,22.1,.462,23.1,8.5,13.3,1.3,9.6,5.5,7.81,-69.2,-2.3
Garrett Temple,WSH,75,8.5,.431,26.3,15.3,14.3,3.8,8.7,6.2,7.81,-25.6,-0.9
Antawn Jamison,LAC,22,11.3,.408,6.0,6.0,17.7,4.2,19.9,12.3,7.79,0.0,0.0
Ben McLemore,SAC,82,26.7,.485,8.9,10.4,15.8,2.7,9.5,6.1,7.77,-89.2,-3.0
Shavlik Randolph,PHX,14,6.8,.531,4.0,20.1,10.0,8.3,21.2,14.8,7.76,-5.3,-0.2
Allen Crabbe,POR,15,6.7,.475,13.7,6.9,15.7,1.1,8.5,4.8,7.69,-4.2,-0.1
Ronnie Price,ORL,31,12.2,.379,34.8,13.7,15.5,2.4,10.5,6.5,7.64,-18.9,-0.6
Elias Harris,LAL,2,5.5,.000,50.0,0.0,4.6,9.7,0.0,4.9,7.63,0.0,0.0
Ekpe Udoh,MIL,42,19.1,.440,13.3,16.3,10.8,8.4,12.8,10.5,7.62,-46.5,-1.6
Solomon Hill,IND,28,8.1,.545,17.6,19.1,10.8,4.7,15.2,10.2,7.62,-9.7,-0.3
Doron Lamb,ORL,53,13.1,.543,17.5,11.0,12.6,1.3,6.7,4.0,7.51,-31.0,-1.0
Brandon Davies,PHI,51,11.3,.476,13.1,16.3,12.9,6.9,13.9,10.2,7.49,-34.4,-1.1
Jason Terry,BKN,35,16.3,.501,23.2,11.2,14.7,0.8,6.9,3.9,7.48,-25.7,-0.9
Adonis Thomas,ORL/PHI,6,6.2,.485,16.3,5.4,16.9,0.0,9.2,4.5,7.35,-1.7,-0.1
Alex Len,PHX,42,8.6,.469,3.3,21.4,12.9,12.1,18.6,15.3,7.32,-17.7,-0.6
Dwight Buycks,TOR,14,10.4,.414,13.9,13.9,18.3,3.2,15.2,9.2,7.26,-8.2,-0.3
Willie Green,LAC,55,15.8,.477,13.5,9.2,15.2,1.6,8.2,5.0,7.13,-43.7,-1.5
Diante Garrett,UTAH,71,14.8,.459,25.8,16.1,15.1,1.2,9.8,5.3,7.10,-61.0,-2.0
Anthony Bennett,CLE,52,12.8,.425,5.3,14.7,18.7,8.1,18.4,13.1,6.95,-35.1,-1.2
Othyus Jeffers,MIN/SA,6,7.8,.580,10.2,10.2,8.6,2.4,18.6,10.7,6.94,-2.5,-0.1
Reggie Bullock,LAC,43,9.2,.460,8.0,8.7,14.0,3.2,11.7,7.6,6.75,-22.2,-0.7
Arnett Moultrie,PHI,12,15.6,.448,4.1,14.2,9.7,6.1,14.4,10.1,6.71,-13.4,-0.4
Glen Rice Jr.,WSH,11,9.9,.399,12.5,16.0,19.0,4.2,17.3,10.6,6.68,-6.2,-0.2
Julyan Stone,TOR,21,5.7,.491,34.0,14.2,9.3,1.9,17.6,9.7,6.62,-6.9,-0.2
Ben Gordon,CHA,19,14.7,.422,13.2,13.2,21.2,1.2,9.8,5.5,6.48,0.0,0.0
Kendrick Perkins,OKC,62,19.5,.474,17.7,23.7,10.9,8.1,19.9,14.3,6.32,-77.1,-2.6
Eric Maynor,PHI/WSH,31,10.5,.387,27.8,15.5,16.4,3.0,10.6,6.7,6.25,0.0,0.0
James Nunnally,ATL/PHI,13,12.7,.440,12.3,10.8,18.0,0.7,12.4,6.4,6.15,-10.7,-0.4
Otto Porter Jr.,WSH,37,8.6,.405,8.3,11.6,14.4,7.5,13.3,10.4,6.08,-21.1,-0.7
Jeff Taylor,CHA,26,24.2,.436,7.7,8.8,17.5,2.7,8.1,5.4,5.97,-42.5,-1.4
Solomon Jones,ORL,11,7.7,.373,8.8,8.8,10.1,10.6,10.7,10.7,5.86,0.0,0.0
Dennis Schroder,ATL,49,13.1,.442,25.8,16.9,18.6,0.9,9.9,5.4,5.81,-49.7,-1.7
Peyton Siva,DET,24,9.3,.425,29.4,15.6,16.4,0.9,6.2,3.4,5.73,-17.6,-0.6
Tyshawn Taylor,BKN,23,11.7,.427,21.0,18.1,22.4,1.3,5.3,3.3,5.47,0.0,0.0
Gal Mekel,DAL,31,9.4,.400,34.0,16.7,19.7,2.0,8.6,5.3,5.44,-24.2,-0.8
Orlando Johnson,IND/SAC,45,8.7,.402,12.5,9.4,14.8,2.7,12.7,7.9,5.34,0.0,0.0
Chauncey Billups,DET,19,16.3,.427,27.8,16.5,15.8,1.3,8.9,4.9,5.31,-23.9,-0.8
John Lucas III,UTAH,42,14.1,.403,16.1,8.4,16.2,2.3,5.4,3.8,5.23,-50.9,-1.7
Shannon Brown,NY/SA,29,8.7,.419,8.8,17.6,15.4,3.2,9.7,6.4,4.78,-23.3,-0.8
Jamaal Franklin,MEM,21,7.7,.489,10.5,19.3,13.6,2.9,13.9,8.4,4.72,-14.0,-0.5
John Jenkins,ATL,13,12.2,.457,16.7,16.7,14.7,2.2,13.8,8.1,4.70,-13.7,-0.5
Malcolm Thomas,SA/UTAH,8,7.9,.444,7.2,32.3,15.6,9.0,29.5,19.1,4.67,-6.4,-0.2
Damion James,SA,5,10.0,.304,21.6,7.2,9.4,2.4,23.8,13.5,4.14,-4.7,-0.2
Brandon Rush,UTAH,38,11.0,.428,17.6,14.7,11.8,1.3,11.1,6.1,4.14,-39.7,-1.3
Jason Collins,BKN,22,7.8,.485,10.9,19.0,8.2,4.9,8.3,6.6,4.12,-16.6,-0.6
Melvin Ely,NO,2,13.5,.500,0.0,0.0,9.1,0.0,4.4,2.2,3.94,-2.7,-0.1
Tornike Shengelia,CHI/BKN,26,6.0,.460,24.3,20.9,13.9,3.1,9.2,6.1,3.94,0.0,0.0
Josh Childress,NO,4,6.0,.000,66.7,33.3,2.8,0.0,14.7,7.3,3.92,0.0,0.0
Marquis Teague,CHI/BKN,40,11.1,.398,25.1,16.9,17.1,0.3,10.1,5.3,3.86,-47.2,-1.6
Arinze Onuaku,NO/CLE,5,6.0,.255,30.4,10.1,11.2,7.6,23.5,15.4,3.81,0.0,0.0
Chris Babb,BOS,14,9.4,.367,8.3,8.3,10.4,3.3,11.5,7.3,3.73,-13.3,-0.4
Ognjen Kuzmic,GS,21,4.4,.420,6.7,33.5,12.1,12.1,12.8,12.5,3.43,-9.8,-0.3
Ronnie Brewer,CHI/HOU,24,6.7,.220,35.9,7.2,0.0,1.5,7.9,4.9,3.43,-16.9,-0.6
Hamady Ndiaye,SAC,14,5.3,.318,19.4,19.4,7.2,7.5,20.1,13.7,2.96,0.0,0.0
Hasheem Thabeet,OKC,23,8.3,.536,2.5,34.8,8.1,5.6,17.4,11.7,2.58,-23.0,-0.8
Josh Powell,HOU,1,19.0,.333,0.0,14.3,14.4,0.0,27.7,14.6,2.55,-2.5,-0.1
D.J. White,CHA,2,5.0,.000,0.0,0.0,4.1,0.0,22.7,11.3,2.39,-1.4,-0.0
Andris Biedrins,UTAH,6,7.5,.412,0.0,35.5,5.2,5.0,39.7,21.8,2.39,0.0,0.0
Sergey Karasev,CLE,22,7.1,.470,10.6,19.5,13.5,0.0,11.8,5.8,2.37,-18.9,-0.6
Earl Watson,POR,24,6.7,.470,48.5,29.4,9.6,3.4,6.6,5.0,2.10,-21.4,-0.7
Jamaal Tinsley,UTAH,8,13.8,.225,44.2,17.3,13.7,2.0,9.7,5.8,1.87,0.0,0.0
Sasha Vujacic,LAC,2,5.0,.500,0.0,37.5,31.3,0.0,32.2,16.7,1.59,0.0,0.0
Mike James,CHI,11,7.0,.251,38.7,11.4,17.6,0.0,10.2,5.2,1.55,-10.9,-0.4
Vander Blue,BOS,3,5.0,.403,10.9,21.7,22.9,0.0,23.4,11.4,0.53,0.0,0.0
Lance Thomas,NO,5,8.4,.279,19.0,12.7,13.4,5.4,14.0,9.7,0.48,0.0,0.0
Ryan Gomes,OKC,5,6.8,.375,10.0,10.0,10.8,0.0,12.7,6.6,0.19,0.0,0.0
Erik Murphy,CHI,24,2.6,.231,11.8,11.8,10.5,3.7,10.8,7.3,0.19,-10.5,-0.3
Stephen Jackson,LAC,9,11.9,.270,12.9,15.5,13.0,2.2,8.0,5.2,0.16,0.0,0.0
Chris Smith,NY,2,1.0,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0
Shane Edwards,CLE,2,6.0,.333,0.0,25.0,13.4,9.1,9.6,9.3,-0.97,0.0,0.0
Nemanja Nedovic,GS,24,5.9,.306,19.0,19.0,16.5,2.3,9.1,5.8,-1.73,-27.0,-0.9
Scotty Hopson,CLE,2,3.5,.102,17.0,0.0,30.0,0.0,0.0,0.0,-6.53,-1.8,-0.1
Royce White,SAC,3,3.0,.000,0.0,0.0,4.4,0.0,0.0,0.0,-8.30,0.0,0.0
Mustafa Shakur,OKC,3,3.7,.129,40.5,20.2,25.8,0.0,0.0,0.0,-8.78,0.0,0.0
Royal Ivey,OKC,2,2.5,.000,0.0,0.0,15.7,0.0,21.5,11.3,-16.48,0.0,0.0
Darius Johnson-Odom,PHI,3,5.0,.000,9.2,18.4,25.8,0.0,15.0,7.2,-23.04,0.0,0.0
