RK,NAME,TEAM,SALARY
Renaldo Balkman,SF,Dallas Mavericks,1675000
Jeremy Evans,SF,Utah Jazz,1660257
Tyler Zeller,C,Cleveland Cavaliers,1633440
Chris Singleton,SF,Washington Wizards,1618680
John Lucas III,PG,Utah Jazz,1600000
Toney Douglas,PG,Miami Heat,1600000
Metta World Peace,SF,New York Knicks,1591650
Pablo Prigioni,PG,New York Knicks,1591350
Terrence Jones,PF,Houston Rockets,1551840
Jodie Meeks,SG,Los Angeles Lakers,1550000
Tobias Harris,SF,Orlando Magic,1545840
Shane Larkin,PG,Dallas Mavericks,1536960
Ronny Turiaf,C,Minnesota Timberwolves,1500000
Slava Kravtsov,C,Phoenix Suns,1500000
Gary Forbes, FBrooklyn Nets,1500000
Gustavo Ayon,PF,Atlanta Hawks,1500000
Andrew Nicholson,PF,Orlando Magic,1482000
Sergey Karasev,SG,Cleveland Cavaliers,1467840
Nando de Colo,PG,Toronto Raptors,1463000
Evan Fournier,SG,Denver Nuggets,1422720
Donatas Motiejunas,PF,Houston Rockets,1422720
Tony Snell,SG,Chicago Bulls,1409040
Craig Brackins,PF,Other,1404960
Quentin Richardson,SF,Toronto Raptors,1399507
Willie Green,SG,Los Angeles Clippers,1399507
Chris Andersen,PF,Miami Heat,1399507
Rashard Lewis,PF,Miami Heat,1399507
Scotty Hopson,SG,Cleveland Cavaliers,1388400
Andray Blatche,C,Brooklyn Nets,1375604
Kenneth Faried,PF,Denver Nuggets,1367640
Jared Sullinger,C,Boston Celtics,1365720
Gorgui Dieng,C,Minnesota Timberwolves,1352640
Kurt Thomas,PF,Chicago Bulls,1352181
Roko Ukic,PG,Milwaukee Bucks,1350000
Dennis Schroder,PG,Atlanta Hawks,1348200
Victor Claver,PF,Portland Trail Blazers,1330000
Hamed Haddadi,C,Phoenix Suns,1300000
Mason Plumlee,PF,Brooklyn Nets,1298640
Dominique Jones,SG,Dallas Mavericks,1276560
Francisco Garcia,SG,Houston Rockets,1265977
Reggie Jackson,PG,Oklahoma City Thunder,1260360
John Jenkins,SG,Atlanta Hawks,1258800
Solomon Hill,SF,Indiana Pacers,1246680
MarShon Brooks,SG,Los Angeles Lakers,1210080
Hasheem Thabeet,C,Oklahoma City Thunder,1200000
Pero Antic,C,Atlanta Hawks,1200000
Tim Hardaway Jr.,SG,New York Knicks,1196760
Christian Eyenga,SF,Cleveland Cavaliers,1174080
Jordan Hamilton,SF,Houston Rockets,1169880
Tony Wroten,SG,Philadelphia 76ers,1160040
Reggie Bullock,SG,Los Angeles Clippers,1149000
Ronnie Price,PG,Orlando Magic,1146337
Patty Mills,PG,San Antonio Spurs,1133950
Norris Cole,PG,Miami Heat,1129200
Miles Plumlee,C,Phoenix Suns,1121520
Cory Joseph,PG,San Antonio Spurs,1120920
Jimmy Butler,SG,Chicago Bulls,1112880
Dwayne Jones II,PF,Utah Jazz,1106942
Chris Quinn,PG,Cleveland Cavaliers,1106942
Stephen Graham,SF,Milwaukee Bucks,1106941
Joey Graham,SF,Cleveland Cavaliers,1106941
Arnett Moultrie,PF,Philadelphia 76ers,1089240
JaJuan Johnson,PF,Boston Celtics,1089240
Perry Jones,SF,Oklahoma City Thunder,1082520
Rudy Gobert,C,Utah Jazz,1078800
Marquis Teague,PG,Brooklyn Nets,1074720
Alando Tucker,SF,Minnesota Timberwolves,1071720
Von Wafer,SG,Orlando Magic,1069509
Kelenna Azubuike,SF,Cleveland Cavaliers,1069509
Festus Ezeli,C,Golden State Warriors,1066920
Archie Goodwin,SG,Phoenix Suns,1064400
Nemanja Nedovic,PG,Golden State Warriors,1056720
Luke Harangody,PF,Boston Celtics,1054389
Kyle Singler,SF,Detroit Pistons,1045000
Quinton Ross,SF,Brooklyn Nets,1033342
Jawad Williams,SF,Cleveland Cavaliers,1029389
Anthony Morrow,SG,New Orleans Pelicans,1027424
Donte Greene,SF,Boston Celtics,1027424
Lance Stephenson,SG,Indiana Pacers,1005000
Andrew Bynum,C,Indiana Pacers,1000000
Jon Brockman,PF,Houston Rockets,1000000
Ish Smith,PG,Phoenix Suns,951463
Alan Anderson,SF,Brooklyn Nets,947907
Reggie Williams,SG,Oklahoma City Thunder,947907
Omri Casspi,SF,Houston Rockets,947907
Chandler Parsons,SF,Houston Rockets,926500
James Anderson,SG,Philadelphia 76ers,916099
Daniel Orton,C,Philadelphia 76ers,916099
Chris Johnson,PF,Sacramento Kings,916099
Jeff Adrien,PF,Charlotte Bobcats,916099
Jon Leuer,PF,Memphis Grizzlies,900000
Pops Mensah-Bonsu,PF,Washington Wizards,885120
Bill Walker,SF,New York Knicks,885120
Alexander Johnson,SF,Miami Heat,885120
Salim Stoudamire,SG,Atlanta Hawks,884881
Donald Sloan,PG,Indiana Pacers,884293
Michael Beasley,SF,Miami Heat,884293
E'Twaun Moore,PG,Orlando Magic,884293
Anthony Tolliver,PF,Charlotte Bobcats,884293
Jannero Pargo,PG,Charlotte Bobcats,884293
Garrett Temple,SG,Washington Wizards,884,293
Mike Miller,SF,Memphis Grizzlies,884293
Beno Udrih,PG,Memphis Grizzlies,884293
Lance Thomas,SF,New Orleans Pelicans,884293
Aaron Brooks,PG,Houston Rockets,884293
Shelvin Mack,PG,Atlanta Hawks,884293
Draymond Green,SF,Golden State Warriors,875500
Quincy Douby,SG,Sacramento Kings,855189
Mouhamed Sene,C,New York Knicks,855189
Marcus Haislip, FSan Antonio Spurs,855189
Anthony Roberson,SG,Chicago Bulls,855189
Sundiata Gaines,PG,Indiana Pacers,854389
Darnell Jackson,PF,Indiana Pacers,854389
Jamaal Magloire,C,New Orleans Pelicans,854389
Sonny Weems,SF,Bilbao Basket Bilbao Basket,854389
Javaris Crittenton,PG,Washington Wizards,854389
Darius Miles,SF,Memphis Grizzlies,854389
Kenny Thomas,PF,Sacramento Kings,854389
Luke Jackson,SF,Miami Heat,854389
Josh Davis,SF,Memphis Grizzlies,854389
Dexter Pittman,C,Atlanta Hawks,854389
Chris Richard,PF,Chicago Bulls,854389
Anthony Carter,PG,Denver Nuggets,854389
Samardo Samuels,PF,Cleveland Cavaliers,854389
Etan Thomas,C,Atlanta Hawks,854389
Troy Murphy,PF,Dallas Mavericks,839312
Solomon Alabi,C,Philadelphia 76ers,830000
Michael Redd,SG,Phoenix Suns,826828
Desmond Mason,SF,Sacramento Kings,825497
Paul Davis,C,Washington Wizards,825497
Marcus Williams,SG,San Antonio Spurs,825497
Ryan Bowen,SF,Oklahoma City Thunder,825497
Kevin Ollie,PG,Oklahoma City Thunder,825497
Kareem Rush,SG,Los Angeles Clippers,825497
Lindsey Hunter,SG,Phoenix Suns,825497
Allen Crabbe,SG,Portland Trail Blazers,825000
Josh Childress,SF,New Orleans Pelicans,811469
Tyler Honeycutt,SF,Houston Rockets,809875
Sean Marks,PF,Portland Trail Blazers,799105
Elliot Williams,SG,Philadelphia 76ers,797545
Ike Diogu,PF,New York Knicks,792377
Kyle O'Quinn,PF,Orlando Magic,788872
Orlando Johnson,SG,Sacramento Kings,788872
Quincy Acy,SF,Toronto Raptors,788872
Justin Holiday,SG,Utah Jazz,788872
Jeff Taylor,SF,Charlotte Bobcats,788872
D.J. Kennedy,SG,Dallas Mavericks,788872
Andy Rautins,SG,New York Knicks,788872
Robert Vaden, NAOther,788872
Khris Middleton,PF,Milwaukee Bucks,788872
Zabian Dowdell,PG,Phoenix Suns,788872
Mike Scott,PF,Atlanta Hawks,788872
Quincy Miller,SF,Denver Nuggets,788872
Magnum Rolle, NAOther,788872
Jermaine Taylor,SG,Cleveland Cavaliers,780871
Josh Howard,SF,San Antonio Spurs,773976
Yi Jianlian,PF,Dallas Mavericks,771706
Mickell Gladness,C,Orlando Magic,762195
Justin Harper,PF,Orlando Magic,762195
Derrick Caracter,PF,Los Angeles Lakers,762195
Travis Leslie,PG,Other,762195
Brian Butch,C,Utah Jazz,762195
Cory Higgins,PG,Charlotte Hornets,762195
Jerome Jordan,C,Memphis Grizzlies,762195
Garret Siler,C,Phoenix Suns,762195
Taylor Griffin,PF,Phoenix Suns,762195
Jerome Dyson,PG,Phoenix Suns,762195
Josh Selby,PG,Cleveland Cavaliers,762195
Semih Erden,C,Boston Celtics,762195
Curtis Jerrells, NAOther,762195
Andre Roberson,SG,Oklahoma City Thunder,740560
Joe Crawford,SG,New York Knicks,736420
Dontell Jefferson,SG,Charlotte Hornets,736420
Mike Taylor,PG,Los Angeles Clippers,736420
Walter Sharpe,PF,Detroit Pistons,736420
DeMarcus Nelson,SG,Other,736420
Diante Garrett,PG,Utah Jazz,719266
Ime Udoka,SG,San Antonio Spurs,708640
Malcolm Thomas,PF,Utah Jazz,702233
Dwight Buycks,PG,Toronto Raptors,700000
Mike Wilks,PG,Oklahoma City Thunder,679821
Stephen Jackson,SF,Los Angeles Clippers,671022
Brian Skinner,PF,Memphis Grizzlies,668434
Chris Douglas-Roberts,SG,Charlotte Bobcats,660619
Hilton Armstrong,PF,Golden State Warriors,660619
Allen Iverson,SG,Philadelphia 76ers,650686
D.J. Augustin,PG,Toronto Raptors,650215
Alexis Ajinca,C,New Orleans Pelicans,635880
James Johnson,PF,Memphis Grizzlies,634610
Acie Law,PG,Golden State Warriors,633253
Isaiah Canaan,PG,Houston Rockets,570515
Jeremy Tyler,PF,New York Knicks,556584
Kendall Marshall,PG,Los Angeles Lakers,547570
Ricky Ledo,SG,Dallas Mavericks,544000
Lazar Hayward,SF,New Orleans Pelicans,542788
Jamaal Franklin,SG,Memphis Grizzlies,535000
Jason Williams,PG,Orlando Magic,524964
Ray McCallum,PG,Sacramento Kings,524616
Carrick Felix,SG,Cleveland Cavaliers,510000
Nate Wolters,PG,Milwaukee Bucks,500000
Tony Mitchell,PF,Detroit Pistons,500000
Elias Harris,SF,Los Angeles Lakers,490180
Ian Clark,SG,Utah Jazz,490180
Erik Murphy,PF,Chicago Bulls,490180
C.J. Leslie,SF,New York Knicks,490180
Nick Calathes,SG,Memphis Grizzlies,490180
Glen Rice Jr.,SG,Washington Wizards,490180
Jordan Henriquez,C,Houston Rockets,490180
Richard Howell,PF,Portland Trail Blazers,490180
Robert Covington,SF,Houston Rockets,490180
Arinze Onuaku,PF,Cleveland Cavaliers,490180
Peyton Siva,PG,Detroit Pistons,490180
Phil Pressey,PG,Boston Celtics,490180
Ryan Reid,PF,Oklahoma City Thunder,475000
Greg Somogyi,C,Los Angeles Lakers,473604
Stanley Robinson, NAOther,473604
Pooh Jeter,PG,Sacramento Kings,473604
Oscar Bellfield,PG,New York Knicks,473604
Hollis Thompson,SG,Philadelphia 76ers,473604
Devin Searcy,PF,Other,473604
Steven Gray,G,Washington Wizards,473604
Luke Zeller,PF,Phoenix Suns,473604
Matt Janning, NAOther,473604
James Mays,PF,Brooklyn Nets,473604
Dennis Horner,PF,Brooklyn Nets,473604
Vernon Macklin,PF,Detroit Pistons,473604
Carldell Johnson,PG,Atlanta Hawks,473604
Jamar Smith,SG,Boston Celtics,473604
Ismail Muhammad,SG,Atlanta Hawks,473604
Hedo Turkoglu,SF,Los Angeles Clippers,473357
Deron Washington, NAOther,457588
Lorenzo Brown,PG,Philadelphia 76ers,426745
Leandro Barbosa,SG,Phoenix Suns,410936
Peja Stojakovic,SF,Dallas Mavericks,402065
Luke Babbitt,SF,New Orleans Pelicans,387995
Walker Russell,PG,Oklahoma City Thunder,374300
Glen Davis,PF,Orlando Magic,338,594
Seth Curry,SG,Memphis Grizzlies,328709
Chris Johnson,SF,Boston Celtics,320189
Shavlik Randolph,PF,Phoenix Suns,306037
Dewayne Dedmon,C,Philadelphia 76ers,300000
Jason Collins,C,Brooklyn Nets,275691
Jeremy Pargo,PG,Bilbao Basket Bilbao Basket,264527
Gilbert Arenas,PG,Memphis Grizzlies,261829
Danny Granger,SF,Los Angeles Clippers,249683
Terrence Williams,SG,Boston Celtics,244710
Caron Butler,SF,Oklahoma City Thunder,244489
Jimmer Fredette,PG,Sacramento Kings,239279
Bobby Simmons,SF,Los Angeles Clippers,234268
Mustafa Shakur,PG,Oklahoma City Thunder,226162
Earl Boykins,PG,Houston Rockets,220487
Al Thornton,SF,Golden State Warriors,211084
Travis Diener,PG,Portland Trail Blazers,208802
Leon Powe,PF,Other,201033
Ben Uzoh,PG,Cleveland Cavaliers,190548
Shannon Brown,PG,San Antonio Spurs,188438
Jarvis Varnado,PF,Philadelphia 76ers,171696
Troy Daniels,SG,Houston Rockets,158588
James Singleton,SF,Washington Wizards,151585
Mike Muscala,C,Atlanta Hawks,138404
Armon Johnson,PG,Brooklyn Nets,104494
Manny Harris,PG,Los Angeles Lakers,104034
Cartier Martin,SF,Chicago Bulls,104034
D.J. White,PF,Charlotte Bobcats,104028
Willie Reed,PF,Sacramento Kings,102089
Justin Hamilton,C,Charlotte Bobcats,98036
Chris Babb,SG,Boston Celtics,77852
Morris Almond,SG,Washington Wizards,75793
Mikki Moore,C,Atlanta Hawks,75793
DaJuan Summers,SF,Los Angeles Clippers,72892
Ronnie Brewer,SF,Houston Rockets,69792
Dominic McGuire,PF,Utah Jazz,68,902
Damion James,SF,San Antonio Spurs,68902
Mike James,PG,Chicago Bulls,57627
Jorge Gutierrez,PG,Brooklyn Nets,54785
Shawne Williams,PF,Los Angeles Lakers,52017
Drew Gooden,PF,Washington Wizards,52017
Darius Morris,PG,Memphis Grizzlies,52017
Othyus Jeffers,SG,San Antonio Spurs,52017
Royal Ivey,PG,Oklahoma City Thunder,52017
Sasha Vujacic,SG,Los Angeles Clippers,52017
Lou Amundson,PF,Chicago Bulls,48854
Lester Hudson,SG,Utah Jazz,48232
Jared Cunningham,SG,Sacramento Kings,46404
Maalik Wayns,PG,Los Angeles Clippers,46404
Cedric Jackson,G,Cleveland Cavaliers,40375
Jeff Foote,C,New Orleans Pelicans,38194
Melvin Ely,C,New Orleans Pelicans,29788
James Nunnally,SF,Philadelphia 76ers,28834
Vander Blue,SG,Boston Celtics,28834
Chris Wright,PG,Dallas Mavericks,27859
Larry Owens,SF,Brooklyn Nets,22287
Mario West,SG,Brooklyn Nets,20103
Greg Smith,PF,Houston Rockets,15605
Josh Powell,PF,Houston Rockets,13958
Chris Wright,SF,Milwaukee Bucks,9281
Lamar Odom,PF,New York Knicks,8232
